shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-B31-B-mjp-1.1.H,-37.8183051340585,144.966964346166,1,0
2-B31-B-mjp-1.1.H,-37.8188721495104,144.964835793452,2,197.699266564143
2-B31-B-mjp-1.1.H,-37.8190125170199,144.964093524547,3,264.885574693106
2-B31-B-mjp-1.1.H,-37.8193580582912,144.962709438778,4,392.643157638307
2-B31-B-mjp-1.1.H,-37.8196732542077,144.961655624033,5,491.80464209674
2-B31-B-mjp-1.1.H,-37.8197300154391,144.961290532529,6,524.561320805059
2-B31-B-mjp-1.1.H,-37.8199780561883,144.960522564091,7,597.568169798835
2-B31-B-mjp-1.1.H,-37.8213664393209,144.956917130336,8,950.437834122647
2-B31-B-mjp-1.1.H,-37.8214809160529,144.956243699755,9,1011.07610586583
2-B31-B-mjp-1.1.H,-37.8214930172627,144.955902548779,10,1041.14269862257
2-B31-B-mjp-1.1.H,-37.8214778980437,144.955550788294,11,1072.15882346112
2-B31-B-mjp-1.1.H,-37.8213497582776,144.954918133638,12,1129.64795286834
2-B31-B-mjp-1.1.H,-37.82111392077,144.954311176005,13,1189.15425505558
2-B31-B-mjp-1.1.H,-37.8209838709605,144.954087557086,14,1213.56736628705
2-B31-B-mjp-1.1.H,-37.8203663626613,144.953298021051,15,1311.18908518198
2-B31-B-mjp-1.1.H,-37.8201464343329,144.953088249621,16,1341.799540912
2-B31-B-mjp-1.1.H,-37.8194719891349,144.952652472148,17,1425.91850429126
2-B31-B-mjp-1.1.H,-37.8186224519219,144.951994338999,18,1536.59370476544
2-B31-B-mjp-1.1.H,-37.8186224519219,144.951994338999,19,1536.59370476544
2-B31-B-mjp-1.1.H,-37.8174254930872,144.951050467791,20,1693.30043723089
2-B31-B-mjp-1.1.H,-37.8172413930842,144.950828360313,21,1721.58470847836
2-B31-B-mjp-1.1.H,-37.816326620346,144.950047114092,22,1844.22646319509
2-B31-B-mjp-1.1.H,-37.8161266784229,144.949950407727,23,1867.9961918431
2-B31-B-mjp-1.1.H,-37.8156823504826,144.94979230517,24,1919.24070374438
2-B31-B-mjp-1.1.H,-37.8154473673148,144.949753367956,25,1945.54659662031
2-B31-B-mjp-1.1.H,-37.8139932400252,144.948532704404,26,2139.45894795462
2-B31-B-mjp-1.1.H,-37.8127486461313,144.947442594673,27,2307.67606955643
2-B31-B-mjp-1.1.H,-37.811337251893,144.945573372106,28,2534.90502897842
2-B31-B-mjp-1.1.H,-37.8101694478741,144.944753831548,29,2683.25933461193
2-B31-B-mjp-1.1.H,-37.809173571755,144.943974981477,30,2813.3439224769
2-B31-B-mjp-1.1.H,-37.8090356857649,144.943819785398,31,2833.86220700558
2-B31-B-mjp-1.1.H,-37.808748328157,144.943362054683,32,2885.26259610917
2-B31-B-mjp-1.1.H,-37.8078084713592,144.942695267127,33,3004.97057412233
2-B31-B-mjp-1.1.H,-37.8063098353473,144.94151017321,34,3201.33757746047
2-B31-B-mjp-1.1.H,-37.8063098353473,144.94151017321,35,3201.33757746047
2-B31-B-mjp-1.1.H,-37.8059167629412,144.941191702133,36,3253.20278738003
2-B31-B-mjp-1.1.H,-37.805312152803,144.940629232983,37,3336.61142002678
2-B31-B-mjp-1.1.H,-37.8034999624827,144.938521596114,38,3610.30650584309
2-B31-B-mjp-1.1.H,-37.8030919119141,144.937862837525,39,3683.90677758172
2-B31-B-mjp-1.1.H,-37.8022320122542,144.936103615392,40,3865.8765552922
2-B31-B-mjp-1.1.H,-37.8011503354591,144.934032605644,41,4084.23635012632
2-B31-B-mjp-1.1.H,-37.8008367167604,144.933621122316,42,4134.48572823192
2-B31-B-mjp-1.1.H,-37.8004238168733,144.933201052696,43,4193.38394552243
2-B31-B-mjp-1.1.H,-37.7991288348196,144.932328582596,44,4356.36860737747
2-B31-B-mjp-1.1.H,-37.7981754912978,144.931923603231,45,4468.03328397665
2-B31-B-mjp-1.1.H,-37.7958188332502,144.931148941368,46,4738.3590134217
2-B31-B-mjp-1.1.H,-37.7949765655641,144.930911240822,47,4834.16089231768
2-B31-B-mjp-1.1.H,-37.7941695289332,144.930627136823,48,4927.16626850637
2-B31-B-mjp-1.1.H,-37.793780219493,144.930524437443,49,4971.31374861566
2-B31-B-mjp-1.1.H,-37.793780219493,144.930524437443,50,4971.31374861566
2-B31-B-mjp-1.1.H,-37.7873278704762,144.928989816448,51,5700.12785385787
2-B31-B-mjp-1.1.H,-37.7873278704762,144.928989816448,52,5700.12785385787
2-B31-B-mjp-1.1.H,-37.7840790707913,144.928217550906,53,6067.08425453784
2-B31-B-mjp-1.1.H,-37.7830090189456,144.927838666944,54,6190.45361864417
2-B31-B-mjp-1.1.H,-37.7822546217346,144.927473684391,55,6280.14754263014
2-B31-B-mjp-1.1.H,-37.781216402381,144.926855488747,56,6407.60341734762
2-B31-B-mjp-1.1.H,-37.780485827637,144.926308190807,57,6501.94322866819
2-B31-B-mjp-1.1.H,-37.7799185814136,144.925824462256,58,6577.96953990318
2-B31-B-mjp-1.1.H,-37.7771047429567,144.92314416619,59,6969.50242485667
2-B31-B-mjp-1.1.H,-37.7766930105891,144.922792373161,60,7024.72017562578
2-B31-B-mjp-1.1.H,-37.7761267519516,144.922365435302,61,7097.9663359347
2-B31-B-mjp-1.1.H,-37.7753060851406,144.921820740203,62,7200.92263734457
2-B31-B-mjp-1.1.H,-37.7753060851406,144.921820740203,63,7200.92263734457
2-B31-B-mjp-1.1.H,-37.7751055218476,144.92169011603,64,7225.98256551686
