shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2-ain-mjp-1.1.H,-37.8186224519219,144.951994338999,1,0
2-ain-mjp-1.1.H,-37.8174254930872,144.951050467791,2,156.706732465456
2-ain-mjp-1.1.H,-37.8172413930842,144.950828360313,3,184.991003712918
2-ain-mjp-1.1.H,-37.816326620346,144.950047114092,4,307.632758429654
2-ain-mjp-1.1.H,-37.8161266784229,144.949950407727,5,331.402487077663
2-ain-mjp-1.1.H,-37.8156823504826,144.94979230517,6,382.646998978939
2-ain-mjp-1.1.H,-37.8154473673148,144.949753367956,7,408.952891854871
2-ain-mjp-1.1.H,-37.8139932400252,144.948532704404,8,602.865243189179
2-ain-mjp-1.1.H,-37.8127486461313,144.947442594673,9,771.082364790994
2-ain-mjp-1.1.H,-37.811337251893,144.945573372106,10,998.311324212983
2-ain-mjp-1.1.H,-37.8101694478741,144.944753831548,11,1146.66562984649
2-ain-mjp-1.1.H,-37.809173571755,144.943974981477,12,1276.75021771146
2-ain-mjp-1.1.H,-37.8090356857649,144.943819785398,13,1297.26850224015
2-ain-mjp-1.1.H,-37.808748328157,144.943362054683,14,1348.66889134373
2-ain-mjp-1.1.H,-37.8078084713592,144.942695267127,15,1468.3768693569
2-ain-mjp-1.1.H,-37.8063098353473,144.94151017321,16,1664.74387269503
2-ain-mjp-1.1.H,-37.8063098353473,144.94151017321,17,1664.74387269503
2-ain-mjp-1.1.H,-37.8059167629412,144.941191702133,18,1716.60908261459
2-ain-mjp-1.1.H,-37.805312152803,144.940629232983,19,1800.01771526134
2-ain-mjp-1.1.H,-37.8034999624827,144.938521596114,20,2073.71280107765
2-ain-mjp-1.1.H,-37.8030919119141,144.937862837525,21,2147.31307281628
2-ain-mjp-1.1.H,-37.8022320122542,144.936103615392,22,2329.28285052676
2-ain-mjp-1.1.H,-37.8011503354591,144.934032605644,23,2547.64264536088
2-ain-mjp-1.1.H,-37.8008367167604,144.933621122316,24,2597.89202346649
2-ain-mjp-1.1.H,-37.8004238168733,144.933201052696,25,2656.79024075699
2-ain-mjp-1.1.H,-37.7991288348196,144.932328582596,26,2819.77490261203
2-ain-mjp-1.1.H,-37.7981754912978,144.931923603231,27,2931.43957921121
2-ain-mjp-1.1.H,-37.7958188332502,144.931148941368,28,3201.76530865626
2-ain-mjp-1.1.H,-37.7949765655641,144.930911240822,29,3297.56718755224
2-ain-mjp-1.1.H,-37.7941695289332,144.930627136823,30,3390.57256374094
2-ain-mjp-1.1.H,-37.793780219493,144.930524437443,31,3434.72004385022
2-ain-mjp-1.1.H,-37.793780219493,144.930524437443,32,3434.72004385022
2-ain-mjp-1.1.H,-37.7873278704762,144.928989816448,33,4163.53414909243
2-ain-mjp-1.1.H,-37.7873278704762,144.928989816448,34,4163.53414909243
2-ain-mjp-1.1.H,-37.7865586553842,144.928806899295,35,4250.41913053342
2-ain-mjp-1.1.H,-37.7861593391258,144.928647722086,36,4296.90568773009
2-ain-mjp-1.1.H,-37.7855126326925,144.928256999713,37,4376.51096393714
2-ain-mjp-1.1.H,-37.7850358661049,144.927793407508,38,4443.35406380541
2-ain-mjp-1.1.H,-37.784583323492,144.927170176335,39,4517.76508449455
2-ain-mjp-1.1.H,-37.7843967848448,144.926812033912,40,4555.50100902278
2-ain-mjp-1.1.H,-37.7839348438912,144.925655403158,41,4669.56239600365
2-ain-mjp-1.1.H,-37.783856188597,144.92528289589,42,4703.51824969635
2-ain-mjp-1.1.H,-37.7837797402805,144.924524266838,43,4770.88292886875
2-ain-mjp-1.1.H,-37.7835442547665,144.914254864443,44,5675.90281815296
2-ain-mjp-1.1.H,-37.7835442547665,144.914254864443,45,5675.90281815296
2-ain-mjp-1.1.H,-37.7835073004412,144.912677604394,46,5814.90641522872
2-ain-mjp-1.1.H,-37.783619722046,144.91190232278,47,5884.33263505955
2-ain-mjp-1.1.H,-37.7838846574696,144.911088680382,48,5961.80521085254
2-ain-mjp-1.1.H,-37.7840235391883,144.910789546446,49,5992.33388589749
2-ain-mjp-1.1.H,-37.7843825666003,144.910200340783,50,6057.77087849342
2-ain-mjp-1.1.H,-37.7846031151254,144.909932966746,51,6091.74145399635
2-ain-mjp-1.1.H,-37.7849843828454,144.909581578139,52,6144.17236091202
2-ain-mjp-1.1.H,-37.7859016493876,144.908965268285,53,6259.55433524077
2-ain-mjp-1.1.H,-37.7865679196999,144.908424150926,54,6347.53728813507
2-ain-mjp-1.1.H,-37.7877304563777,144.906903825601,55,6533.50771589174
